response_id	X59372a4d_answers	X604b2597_answers
ACYDBNixG6UZOERJfKOPzW502SMR8-I9SzfCqWdTPU-DS8Ttsdv5zMmQLH_RTLf8Q21VsQw	When zombies arrive, quickly fax Judge Pat.	Option A
ACYDBNhfppvVcVSiU0Aol3cHBEgYCuwTjx84M_P-LnqxeoczmZVXLsXdl1Kzs2cHVz6-D0k	The quick brown fox jumps over the lazy dog.	Option C
ACYDBNgMkDxQKWJ_O1FNpemPuGJbS9NrjVfXZFM842Pm5_vLzwjbga5ODYlJWTnv-z9S4kU	Five or six big jet planes zoomed quickly by the tower.	Option A
ACYDBNg3Wemw7zkw1111xI1JeGeUG6qnXiUPFcyIT5cKyS8oVtYJHfcPDQzvHpFlH2jk2fw	Amazingly few discotheques provide jukeboxes.	Option A
ACYDBNgpwT3FKcpxzYUKCDlRTavrd9017WK0mAS7bl_UmxlTYsEhOWU8Hr7rHoksp9QO0v0	Jack amazed a few girls by dropping the antique onyx vase.	Option A
ACYDBNhuyUgnOmeky7oKUatiUA3dyEpX5Dm9edzBo-qKMT7e7lcig7kDMLPhTiOVR2Y8g7g	The quick brown fox jumps over the lazy dog.	Option C
ACYDBNj-xIO9ekcWyQ0QiFEGC-f5j5SFHoPaxrXMaoFSDENVNA21OFmRYo2AwQMsNkumPs8	Brown jars prevented the mixture from freezing too quickly.	Option B
ACYDBNhhhSYcnoXb6I1KZoAqATY8ELFn5QHm-4Vff_UJ_DibNGZDGEB9WxhOyltaq0VeZa4	A mad boxer shot a quick, gloved jab to the jaw of his dizzy opponent.	Option B
ACYDBNjH2x7GsV339CENel0sY6uy86gpJWCApKX0FTaKJNEYMq8GXbDpgEU6TIgaBx318ds	Crazy Frederick bought many very exquisite opal jewels.	Option C
ACYDBNj0hxiFrZZXUGApRyg10SNRwVK8anNtko_a5qWi4KKdi0Q2Qg23JbiqVujmGshioCk	The job requires extra pluck and zeal from every young wage earner.	Option A
ACYDBNhuGRVwQ0dL-5pRdaynkJ_OvjmR_6Ns4eOK1enMfJSdgNmDhjr4stYihkgGB_uPtHM	Watch ""Jeopardy!"" previously Alex Trebek's fun TV quiz game	Option A
ACYDBNiFmPHsqHWS7HG1fmAbOiUSd5FUG0Pg2D4mKFGMMReUrulz2tGqucgnhOuN6z4-_FA	Sixty zippers were quickly picked from the woven jute bag.	Option A
ACYDBNhGH1MxFzvg7pM7CTm_m2ANjuVmotA0rahJcxlH7QO4jCDMN5aE-KpL1hsRRSJAL3Y	Farmer Jack realized that big yellow quilts were expensive.	Option A
ACYDBNixG6UZOERJfKOPzW502SMR8-I9SzfCqWdTPU-DS8Ttsdv5zMmQLH_RTLf8Q21VsQw	When zombies arrive, quickly fax Judge Pat.	Option A
ACYDBNhfppvVcVSiU0Aol3cHBEgYCuwTjx84M_P-LnqxeoczmZVXLsXdl1Kzs2cHVz6-D0k	The quick brown fox jumps over the lazy dog.	Option C
ACYDBNgMkDxQKWJ_O1FNpemPuGJbS9NrjVfXZFM842Pm5_vLzwjbga5ODYlJWTnv-z9S4kU	Five or six big jet planes zoomed quickly by the tower.	Option A
ACYDBNg3Wemw7zkw1111xI1JeGeUG6qnXiUPFcyIT5cKyS8oVtYJHfcPDQzvHpFlH2jk2fw	Amazingly few discotheques provide jukeboxes.	Option A
ACYDBNgpwT3FKcpxzYUKCDlRTavrd9017WK0mAS7bl_UmxlTYsEhOWU8Hr7rHoksp9QO0v0	Jack amazed a few girls by dropping the antique onyx vase.	Option A
ACYDBNhuyUgnOmeky7oKUatiUA3dyEpX5Dm9edzBo-qKMT7e7lcig7kDMLPhTiOVR2Y8g7g	The quick brown fox jumps over the lazy dog.	Option C
ACYDBNj-xIO9ekcWyQ0QiFEGC-f5j5SFHoPaxrXMaoFSDENVNA21OFmRYo2AwQMsNkumPs8	Brown jars prevented the mixture from freezing too quickly.	Option B
ACYDBNhhhSYcnoXb6I1KZoAqATY8ELFn5QHm-4Vff_UJ_DibNGZDGEB9WxhOyltaq0VeZa4	A mad boxer shot a quick, gloved jab to the jaw of his dizzy opponent.	Option B
ACYDBNjH2x7GsV339CENel0sY6uy86gpJWCApKX0FTaKJNEYMq8GXbDpgEU6TIgaBx318ds	Crazy Frederick bought many very exquisite opal jewels.	Option C
ACYDBNj0hxiFrZZXUGApRyg10SNRwVK8anNtko_a5qWi4KKdi0Q2Qg23JbiqVujmGshioCk	The job requires extra pluck and zeal from every young wage earner.	Option A
ACYDBNhuGRVwQ0dL-5pRdaynkJ_OvjmR_6Ns4eOK1enMfJSdgNmDhjr4stYihkgGB_uPtHM	Watch ""Jeopardy!"" previously Alex Trebek's fun TV quiz game	Option A
ACYDBNiFmPHsqHWS7HG1fmAbOiUSd5FUG0Pg2D4mKFGMMReUrulz2tGqucgnhOuN6z4-_FA	Sixty zippers were quickly picked from the woven jute bag.	Option A
ACYDBNhGH1MxFzvg7pM7CTm_m2ANjuVmotA0rahJcxlH7QO4jCDMN5aE-KpL1hsRRSJAL3Y	Farmer Jack realized that big yellow quilts were expensive.	Option A
